name,reqLevel,master
파워스트라이크,10,20
러시,15,15
슬래시블러스트,20,20
부스터,30,20
파이널어택,35,20
분노,40,20
파워가드,50,20
섬광,60,5
콤보 어택,70,30
패닉,85,20
코마,100,20
브랜디쉬,120,30
어드밴스드 콤보,135,20
돌진,150,20
아이언 월,45,20
속성필드,85,20
속성 증폭,95,10
리스토네이션,50,10
차지 블로우,70,20
디바인 스윙 강화,75,20
디바인 스티그마 강화,80,20
디바인 저지먼트 강화,90,20
궁병 지원,125,20
디바인 차지,130,20
가드,15,10
발도술,75,20
서먼 다크드래곤,60,20
스피어 버스터,70,30
드래곤 로어,70,30
힐러 소환,75,30
용 소환,80,30
드래곤 라이딩,85,20
어드밴스드 스피어 버스터,130,30
드래곤 블러드,140,30
럭키세븐,10,20
암행,30,20
헤이스트,30,20
쉐도우 파트너,70,30
트리플 스로우,75,30
어벤져,80,20
쿼드러플 스로우,125,30
각성,135,30
표창+,10,20
표창+ II,30,30
표창+ III,70,30
표창+ IV,120,20
페이크,30,20
드레인 샷,30,20
마크 오브 어쌔신,10,20
마크 오브 어쌔신 II,70,20
분신 소환,10,20
분신 강화,30,20
분신 강화 II,70,20
분신 강화 III,120,20
더블스탭,10,20
다크사이트,10,20
새비지블로우,30,30
백스탭,70,20
암행2,70,20
어썰터,70,30
암살,120,30
연막,120,40
플래시 점프,70,10
더블샷,10,20
에로우 블로우,10,20
에로우 블로우 강화,10,20
아이언 에로우,30,20
더블 점프,30,10
스트레이프,70,30
아이스 샷,75,30
용사 소환,70,30
스나이핑,120,30
프리져,125,20
샤프 아이즈,130,30
피어싱,135,30
